WKT_PCS
COORD_REF_SYS_CODE,COORD_REF_SYS_NAME,FALSE_EASTING,FALSE_NORTHING,PARAMETER_VALUE_1,PARAMETER_VALUE_2,PARAMETER_VALUE_3,PARAMETER_VALUE_4,UNIT
27492,Datum_73_Modified_Portuguese_Grid,180.598,-86.99,-8.131906111,1, ,39.66666667,Meter
27500,Nord_de_Guerre,500000,300000,6,55,0.99950908,55,Meter
27581,NTF_Paris_France_I,600000,1200000,0,55,0.999877341,55,Meter
27582,NTF_Paris_France_II,600000,2200000,0,52,0.99987742,52,Meter
27583,NTF_Paris_France_III,600000,3200000,0,49,0.999877499,49,Meter
27584,NTF_Paris_France_IV,234.358,185861.369,0,46.85,0.99994471,46.85,Meter
27591,NTF_Paris_Nord_France,600000,200000,0,55,0.999877341,55,Meter
27592,NTF_Paris_Centre_France,600000,200000,0,52,0.99987742,52,Meter
27593,NTF_Paris_Sud_France,600000,200000,0,49,0.999877499,49,Meter
27594,NTF_Paris_Corse,234.358,185861.369,0,46.85,0.99994471,46.85,Meter
27700,British_National_Grid,400000,-100000,-2,0.999601272, ,49,Meter
28191,Palestine_1923_Palestine_Grid,170251.555,126867.909,35.21208056,1, ,31.73409694,Meter
28192,Palestine_1923_Palestine_Belt,170251.555,1126867.909,35.21208056,1, ,31.73409694,Meter
28193,Palestine_1923_Israel_CS_Grid,170251.555,1126867.909,35.21208056,1, ,31.73409694,Meter
28232,Pointe_Noire_UTM_Zone_32S,500000,10000000,9,0.9996, ,0,Meter
28348,GDA_1994_MGA_Zone_48,500000,10000000,105,0.9996, ,0,Meter
28349,GDA_1994_MGA_Zone_49,500000,10000000,111,0.9996, ,0,Meter
28350,GDA_1994_MGA_Zone_50,500000,10000000,117,0.9996, ,0,Meter
28351,GDA_1994_MGA_Zone_51,500000,10000000,123,0.9996, ,0,Meter
28352,GDA_1994_MGA_Zone_52,500000,10000000,129,0.9996, ,0,Meter
28353,GDA_1994_MGA_Zone_53,500000,10000000,135,0.9996, ,0,Meter
28354,GDA_1994_MGA_Zone_54,500000,10000000,141,0.9996, ,0,Meter
28355,GDA_1994_MGA_Zone_55,500000,10000000,147,0.9996, ,0,Meter
28356,GDA_1994_MGA_Zone_56,500000,10000000,153,0.9996, ,0,Meter
28357,GDA_1994_MGA_Zone_57,500000,10000000,159,0.9996, ,0,Meter
28358,GDA_1994_MGA_Zone_58,500000,10000000,165,0.9996, ,0,Meter
28402,Pulkovo_1942_GK_Zone_2,2500000,0,9,1, ,0,Meter
28403,Pulkovo_1942_GK_Zone_3,3500000,0,15,1, ,0,Meter
28404,Pulkovo_1942_GK_Zone_4,4500000,0,21,1, ,0,Meter
28405,Pulkovo_1942_GK_Zone_5,5500000,0,27,1, ,0,Meter
28406,Pulkovo_1942_GK_Zone_6,6500000,0,33,1, ,0,Meter
28407,Pulkovo_1942_GK_Zone_7,7500000,0,39,1, ,0,Meter
28408,Pulkovo_1942_GK_Zone_8,8500000,0,45,1, ,0,Meter
28409,Pulkovo_1942_GK_Zone_9,9500000,0,51,1, ,0,Meter
28410,Pulkovo_1942_GK_Zone_10,10500000,0,57,1, ,0,Meter
28411,Pulkovo_1942_GK_Zone_11,11500000,0,63,1, ,0,Meter
28412,Pulkovo_1942_GK_Zone_12,12500000,0,69,1, ,0,Meter
28413,Pulkovo_1942_GK_Zone_13,13500000,0,75,1, ,0,Meter
28414,Pulkovo_1942_GK_Zone_14,14500000,0,81,1, ,0,Meter
28415,Pulkovo_1942_GK_Zone_15,15500000,0,87,1, ,0,Meter
28416,Pulkovo_1942_GK_Zone_16,16500000,0,93,1, ,0,Meter
28417,Pulkovo_1942_GK_Zone_17,17500000,0,99,1, ,0,Meter
28418,Pulkovo_1942_GK_Zone_18,18500000,0,105,1, ,0,Meter
28419,Pulkovo_1942_GK_Zone_19,19500000,0,111,1, ,0,Meter
28420,Pulkovo_1942_GK_Zone_20,20500000,0,117,1, ,0,Meter
28421,Pulkovo_1942_GK_Zone_21,21500000,0,123,1, ,0,Meter
28422,Pulkovo_1942_GK_Zone_22,22500000,0,129,1, ,0,Meter
28423,Pulkovo_1942_GK_Zone_23,23500000,0,135,1, ,0,Meter
28424,Pulkovo_1942_GK_Zone_24,24500000,0,141,1, ,0,Meter
28425,Pulkovo_1942_GK_Zone_25,25500000,0,147,1, ,0,Meter
28426,Pulkovo_1942_GK_Zone_26,26500000,0,153,1, ,0,Meter
28427,Pulkovo_1942_GK_Zone_27,27500000,0,159,1, ,0,Meter
28428,Pulkovo_1942_GK_Zone_28,28500000,0,165,1, ,0,Meter
28429,Pulkovo_1942_GK_Zone_29,29500000,0,171,1, ,0,Meter
28430,Pulkovo_1942_GK_Zone_30,30500000,0,177,1, ,0,Meter
28431,Pulkovo_1942_GK_Zone_31,31500000,0,-177,1, ,0,Meter
28432,Pulkovo_1942_GK_Zone_32,32500000,0,-171,1, ,0,Meter
28462,Pulkovo_1942_GK_Zone_2N,500000,0,9,1, ,0,Meter
28463,Pulkovo_1942_GK_Zone_3N,500000,0,15,1, ,0,Meter
28464,Pulkovo_1942_GK_Zone_4N,500000,0,21,1, ,0,Meter
28465,Pulkovo_1942_GK_Zone_5N,500000,0,27,1, ,0,Meter
28466,Pulkovo_1942_GK_Zone_6N,500000,0,33,1, ,0,Meter
28467,Pulkovo_1942_GK_Zone_7N,500000,0,39,1, ,0,Meter
28468,Pulkovo_1942_GK_Zone_8N,500000,0,45,1, ,0,Meter
28469,Pulkovo_1942_GK_Zone_9N,500000,0,51,1, ,0,Meter
28470,Pulkovo_1942_GK_Zone_10N,500000,0,57,1, ,0,Meter
28471,Pulkovo_1942_GK_Zone_11N,500000,0,63,1, ,0,Meter
28472,Pulkovo_1942_GK_Zone_12N,500000,0,69,1, ,0,Meter
28473,Pulkovo_1942_GK_Zone_13N,500000,0,75,1, ,0,Meter
28474,Pulkovo_1942_GK_Zone_14N,500000,0,81,1, ,0,Meter
28475,Pulkovo_1942_GK_Zone_15N,500000,0,87,1, ,0,Meter
28476,Pulkovo_1942_GK_Zone_16N,500000,0,93,1, ,0,Meter
28477,Pulkovo_1942_GK_Zone_17N,500000,0,99,1, ,0,Meter
28478,Pulkovo_1942_GK_Zone_18N,500000,0,105,1, ,0,Meter
28479,Pulkovo_1942_GK_Zone_19N,500000,0,111,1, ,0,Meter
28480,Pulkovo_1942_GK_Zone_20N,500000,0,117,1, ,0,Meter
28481,Pulkovo_1942_GK_Zone_21N,500000,0,123,1, ,0,Meter
28482,Pulkovo_1942_GK_Zone_22N,500000,0,129,1, ,0,Meter
28483,Pulkovo_1942_GK_Zone_23N,500000,0,135,1, ,0,Meter
28484,Pulkovo_1942_GK_Zone_24N,500000,0,141,1, ,0,Meter
28485,Pulkovo_1942_GK_Zone_25N,500000,0,147,1, ,0,Meter
28486,Pulkovo_1942_GK_Zone_26N,500000,0,153,1, ,0,Meter
28487,Pulkovo_1942_GK_Zone_27N,500000,0,159,1, ,0,Meter
28488,Pulkovo_1942_GK_Zone_28N,500000,0,165,1, ,0,Meter
28489,Pulkovo_1942_GK_Zone_29N,500000,0,171,1, ,0,Meter
28490,Pulkovo_1942_GK_Zone_30N,500000,0,177,1, ,0,Meter
28491,Pulkovo_1942_GK_Zone_31N,500000,0,-177,1, ,0,Meter
28492,Pulkovo_1942_GK_Zone_32N,500000,0,-171,1, ,0,Meter
28600,Qatar_National_Grid,200000,300000,51.21666667,0.99999, ,24.45,Meter
28991,RD_Old,0,0,5.387638889,0.9999079, ,52.15616056,Meter
28992,RD_New,155000,463000,5.387638889,0.9999079, ,52.15616056,Meter
29100,SAD_1969_Brazil_Polyconic,5000000,10000000,-54,,,0,Meter
29101,SAD_1969_Brazil_Polyconic,5000000,10000000,-54,,,0,Meter
29118,SAD_1969_UTM_Zone_18N,500000,0,-75,0.9996, ,0,Meter
29119,SAD_1969_UTM_Zone_19N,500000,0,-69,0.9996, ,0,Meter
29120,SAD_1969_UTM_Zone_20N,500000,0,-63,0.9996, ,0,Meter
29121,SAD_1969_UTM_Zone_21N,500000,0,-57,0.9996, ,0,Meter
29122,SAD_1969_UTM_Zone_22N,500000,0,-51,0.9996, ,0,Meter
29168,SAD_1969_UTM_Zone_18N,500000,0,-75,0.9996, ,0,Meter
29169,SAD_1969_UTM_Zone_19N,500000,0,-69,0.9996, ,0,Meter
29170,SAD_1969_UTM_Zone_20N,500000,0,-63,0.9996, ,0,Meter
29171,SAD_1969_UTM_Zone_21N,500000,0,-57,0.9996, ,0,Meter
29172,SAD_1969_UTM_Zone_22N,500000,0,-51,0.9996, ,0,Meter
29177,SAD_1969_UTM_Zone_17S,500000,10000000,-81,0.9996, ,0,Meter
29178,SAD_1969_UTM_Zone_18S,500000,10000000,-75,0.9996, ,0,Meter
29179,SAD_1969_UTM_Zone_19S,500000,10000000,-69,0.9996, ,0,Meter
29180,SAD_1969_UTM_Zone_20S,500000,10000000,-63,0.9996, ,0,Meter
29181,SAD_1969_UTM_Zone_21S,500000,10000000,-57,0.9996, ,0,Meter
29182,SAD_1969_UTM_Zone_22S,500000,10000000,-51,0.9996, ,0,Meter
29183,SAD_1969_UTM_Zone_23S,500000,10000000,-45,0.9996, ,0,Meter
29184,SAD_1969_UTM_Zone_24S,500000,10000000,-39,0.9996, ,0,Meter
29185,SAD_1969_UTM_Zone_25S,500000,10000000,-33,0.9996, ,0,Meter
29187,SAD_1969_UTM_Zone_17S,500000,10000000,-81,0.9996, ,0,Meter
29188,SAD_1969_UTM_Zone_18S,500000,10000000,-75,0.9996, ,0,Meter
29189,SAD_1969_UTM_Zone_19S,500000,10000000,-69,0.9996, ,0,Meter
29190,SAD_1969_UTM_Zone_20S,500000,10000000,-63,0.9996, ,0,Meter
29191,SAD_1969_UTM_Zone_21S,500000,10000000,-57,0.9996, ,0,Meter
29192,SAD_1969_UTM_Zone_22S,500000,10000000,-51,0.9996, ,0,Meter
29193,SAD_1969_UTM_Zone_23S,500000,10000000,-45,0.9996, ,0,Meter
29194,SAD_1969_UTM_Zone_24S,500000,10000000,-39,0.9996, ,0,Meter
29195,SAD_1969_UTM_Zone_25S,500000,10000000,-33,0.9996, ,0,Meter
29220,Sapper_Hill_1943_UTM_Zone_20S,500000,10000000,-63,0.9996, ,0,Meter
29221,Sapper_Hill_1943_UTM_Zone_21S,500000,10000000,-57,0.9996, ,0,Meter
29333,Schwarzeck_UTM_Zone_33S,500000,10000000,15,0.9996, ,0,Meter
29635,Sudan_UTM_Zone_35N,500000,0,27,0.9996, ,0,Meter
29636,Sudan_UTM_Zone_36N,500000,0,33,0.9996, ,0,Meter
29738,Tananarive_1925_UTM_Zone_38S,500000,10000000,45,0.9996, ,0,Meter
29739,Tananarive_1925_UTM_Zone_39S,500000,10000000,51,0.9996, ,0,Meter
29849,Timbalai_1948_UTM_Zone_49N,500000,0,111,0.9996, ,0,Meter
29850,Timbalai_1948_UTM_Zone_50N,500000,0,117,0.9996, ,0,Meter
29900,TM65_Irish_Grid,200000,250000,-8,1.000035, ,53.5,Meter
29901,OSNI_1952_Irish_National_Grid,200000,250000,-8,1.000035, ,53.5,Meter
29902,TM65_Irish_Grid,200000,250000,-8,1.000035, ,53.5,Meter
29903,TM75_Irish_Grid,200000,250000,-8,1.000035, ,53.5,Meter
30161,Japan_Zone_1,0,0,129.5,0.9999, ,33,Meter
30162,Japan_Zone_2,0,0,131,0.9999, ,33,Meter
30163,Japan_Zone_3,0,0,132.1666667,0.9999, ,36,Meter
30164,Japan_Zone_4,0,0,133.5,0.9999, ,33,Meter
30165,Japan_Zone_5,0,0,134.3333333,0.9999, ,36,Meter
30166,Japan_Zone_6,0,0,136,0.9999, ,36,Meter
30167,Japan_Zone_7,0,0,137.1666667,0.9999, ,36,Meter
30168,Japan_Zone_8,0,0,138.5,0.9999, ,36,Meter
30169,Japan_Zone_9,0,0,139.8333333,0.9999, ,36,Meter
30170,Japan_Zone_10,0,0,140.8333333,0.9999, ,40,Meter
30171,Japan_Zone_11,0,0,140.25,0.9999, ,44,Meter
30172,Japan_Zone_12,0,0,142.25,0.9999, ,44,Meter
30173,Japan_Zone_13,0,0,144.25,0.9999, ,44,Meter
30174,Japan_Zone_14,0,0,142,0.9999, ,26,Meter
30175,Japan_Zone_15,0,0,127.5,0.9999, ,26,Meter
30176,Japan_Zone_16,0,0,124,0.9999, ,26,Meter
30177,Japan_Zone_17,0,0,131,0.9999, ,26,Meter
30178,Japan_Zone_18,0,0,136,0.9999, ,20,Meter
30179,Japan_Zone_19,0,0,154,0.9999, ,26,Meter
30200,Trinidad_1903_Trinidad_Grid,430000,325000,-61.33333333,1, ,10.44166667,Link_Clarke
30339,TC_1948_UTM_Zone_39N,500000,0,51,0.9996, ,0,Meter
30340,TC_1948_UTM_Zone_40N,500000,0,57,0.9996, ,0,Meter
30491,Nord_Algerie_Ancienne,500000,300000,3,40,0.999625544,40,Meter
30492,Sud_Algerie_Ancienne,500000,300000,3,37,0.999625769,37,Meter
30493,Voirol_1879_Nord_Algerie_Ancienne,500000,300000,3,40,0.999625544,40,Meter
30494,Voirol_1879_Sud_Algerie_Ancienne,500000,300000,3,37,0.999625769,37,Meter
30591,Nord_Algerie,500135,300090,3,40,0.999625544,40,Meter
30592,Sud_Algerie,500135,300090,3,37,0.999625769,37,Meter
30729,Nord_Sahara_1959_UTM_Zone_29N,500000,0,-9,0.9996, ,0,Meter
30730,Nord_Sahara_1959_UTM_Zone_30N,500000,0,-3,0.9996, ,0,Meter
30731,Nord_Sahara_1959_UTM_Zone_31N,500000,0,3,0.9996, ,0,Meter
30732,Nord_Sahara_1959_UTM_Zone_32N,500000,0,9,0.9996, ,0,Meter
30800,Swedish_National_Grid,1500000,0,-2.25,1, ,0,Meter
31028,Yoff_1972_UTM_Zone_28N,500000,0,-15,0.9996, ,0,Meter
31121,Zanderij_1972_UTM_Zone_21N,500000,0,-57,0.9996, ,0,Meter
31154,Zanderij_TM_54_NW,500000,0,-54,0.9996, ,0,Meter
31170,Zanderij_Suriname_Old_TM,500000,0,-55.68333333,0.9996, ,0,Meter
31171,Zanderij_Suriname_TM,500000,0,-55.68333333,0.9999, ,0,Meter
31265,MGI_3_Degree_Gauss_Zone_5,5500000,0,15,1, ,0,Meter
31266,MGI_3_Degree_Gauss_Zone_6,6500000,0,18,1, ,0,Meter
31267,MGI_3_Degree_Gauss_Zone_7,7500000,0,21,1, ,0,Meter
31268,MGI_3_Degree_Gauss_Zone_8,8500000,0,24,1, ,0,Meter
31275,MGI_Balkans_5,5500000,0,15,0.9999, ,0,Meter
31276,MGI_Balkans_6,6500000,0,18,0.9999, ,0,Meter
31277,MGI_Balkans_7,7500000,0,21,0.9999, ,0,Meter
31278,MGI_Balkans_8,8500000,0,24,0.9999, ,0,Meter
31279,MGI_Balkans_8,8500000,0,24,0.9999, ,0,Meter
31281,Austria_West_Zone,0,0,28,1, ,0,Meter
31282,Austria_Central_Zone,0,0,31,1, ,0,Meter
31283,Austria_East_Zone,0,0,34,1, ,0,Meter
31284,MGI_M28,150000,0,10.33333333,1, ,0,Meter
31285,MGI_M31,450000,0,13.33333333,1, ,0,Meter
31286,MGI_M34,750000,0,16.33333333,1, ,0,Meter
31287,MGI_Austria_Lambert,400000,400000,13.33333333,46,49,47.5,Meter
31291,Austria_West_Zone,0,0,28,1, ,0,Meter
31292,Austria_Central_Zone,0,0,31,1, ,0,Meter
31293,Austria_East_Zone,0,0,34,1, ,0,Meter
31294,MGI_M28,150000,0,10.33333333,1, ,0,Meter
31295,MGI_M31,450000,0,13.33333333,1, ,0,Meter
31296,MGI_M34,750000,0,16.33333333,1, ,0,Meter
31297,MGI_Austria_Lambert,400000,400000,13.33333333,46,49,47.5,Meter
31370,Belge_Lambert_1972,150000.0126,5400088.438,4.367486667,49.8333339,51.16666723,90,Meter
31461,DHDN_3_Degree_Gauss_Zone_1,1500000,0,3,1, ,0,Meter
31462,DHDN_3_Degree_Gauss_Zone_2,2500000,0,6,1, ,0,Meter
31463,DHDN_3_Degree_Gauss_Zone_3,3500000,0,9,1, ,0,Meter
31464,DHDN_3_Degree_Gauss_Zone_4,4500000,0,12,1, ,0,Meter
31465,DHDN_3_Degree_Gauss_Zone_5,5500000,0,15,1, ,0,Meter
31466,DHDN_3_Degree_Gauss_Zone_2,2500000,0,6,1, ,0,Meter
31467,DHDN_3_Degree_Gauss_Zone_3,3500000,0,9,1, ,0,Meter
31468,DHDN_3_Degree_Gauss_Zone_4,4500000,0,12,1, ,0,Meter
31469,DHDN_3_Degree_Gauss_Zone_5,5500000,0,15,1, ,0,Meter
31491,Germany_Zone_1,1500000,0,3,1, ,0,Meter
31492,Germany_Zone_2,2500000,0,6,1, ,0,Meter
31493,Germany_Zone_3,3500000,0,9,1, ,0,Meter
31494,Germany_Zone_4,4500000,0,12,1, ,0,Meter
31495,Germany_Zone_5,5500000,0,15,1, ,0,Meter
31528,Conakry_1905_UTM_Zone_28N,500000,0,-15,0.9996, ,0,Meter
31529,Conakry_1905_UTM_Zone_29N,500000,0,-9,0.9996, ,0,Meter
31600,Stereo_33,500000,500000,25.39246589,0.9996667, ,45.9,Meter
31700,Stereo_70,500000,500000,25,0.99975, ,46,Meter
31838,NGN_UTM_Zone_38N,500000,0,45,0.9996, ,0,Meter
31839,NGN_UTM_Zone_39N,500000,0,51,0.9996, ,0,Meter
31900,KUDAMS_KTM,500000,0,48,0.9996, ,0,Meter
31901,KUDAMS_KTM,500000,0,48,1, ,0,Meter
31917,SIRGAS_UTM_Zone_17N,500000,0,-81,0.9996, ,0,Meter
31918,SIRGAS_UTM_Zone_18N,500000,0,-75,0.9996, ,0,Meter
31919,SIRGAS_UTM_Zone_19N,500000,0,-69,0.9996, ,0,Meter
31920,SIRGAS_UTM_Zone_20N,500000,0,-63,0.9996, ,0,Meter
31921,SIRGAS_UTM_Zone_21N,500000,0,-57,0.9996, ,0,Meter
31922,SIRGAS_UTM_Zone_22N,500000,0,-51,0.9996, ,0,Meter
31971,SIRGAS_2000_UTM_Zone_17N,500000,0,-81,0.9996, ,0,Meter
31972,SIRGAS_2000_UTM_Zone_18N,500000,0,-75,0.9996, ,0,Meter
31973,SIRGAS_2000_UTM_Zone_19N,500000,0,-69,0.9996, ,0,Meter
31974,SIRGAS_2000_UTM_Zone_20N,500000,0,-63,0.9996, ,0,Meter
31975,SIRGAS_2000_UTM_Zone_21N,500000,0,-57,0.9996, ,0,Meter
31976,SIRGAS_2000_UTM_Zone_22N,500000,0,-51,0.9996, ,0,Meter
31977,SIRGAS_2000_UTM_Zone_17S,500000,10000000,-81,0.9996, ,0,Meter
31978,SIRGAS_2000_UTM_Zone_18S,500000,10000000,-75,0.9996, ,0,Meter
31979,SIRGAS_2000_UTM_Zone_19S,500000,10000000,-69,0.9996, ,0,Meter
31980,SIRGAS_2000_UTM_Zone_20S,500000,10000000,-63,0.9996, ,0,Meter
31981,SIRGAS_2000_UTM_Zone_21S,500000,10000000,-57,0.9996, ,0,Meter
31982,SIRGAS_2000_UTM_Zone_22S,500000,10000000,-51,0.9996, ,0,Meter
31983,SIRGAS_2000_UTM_Zone_23S,500000,10000000,-45,0.9996, ,0,Meter
31984,SIRGAS_2000_UTM_Zone_24S,500000,10000000,-39,0.9996, ,0,Meter
31985,SIRGAS_2000_UTM_Zone_25S,500000,10000000,-33,0.9996, ,0,Meter
31986,SIRGAS_UTM_Zone_17N,500000,0,-81,0.9996, ,0,Meter
31987,SIRGAS_UTM_Zone_18N,500000,0,-75,0.9996, ,0,Meter
31988,SIRGAS_UTM_Zone_19N,500000,0,-69,0.9996, ,0,Meter
31989,SIRGAS_UTM_Zone_20N,500000,0,-63,0.9996, ,0,Meter
31990,SIRGAS_UTM_Zone_21N,500000,0,-57,0.9996, ,0,Meter
31991,SIRGAS_UTM_Zone_22N,500000,0,-51,0.9996, ,0,Meter
31992,SIRGAS_UTM_Zone_17S,500000,10000000,-81,0.9996, ,0,Meter
31993,SIRGAS_UTM_Zone_18S,500000,10000000,-75,0.9996, ,0,Meter
31994,SIRGAS_UTM_Zone_19S,500000,10000000,-69,0.9996, ,0,Meter
31995,SIRGAS_UTM_Zone_20S,500000,10000000,-63,0.9996, ,0,Meter
31996,SIRGAS_UTM_Zone_21S,500000,10000000,-57,0.9996, ,0,Meter
31997,SIRGAS_UTM_Zone_22S,500000,10000000,-51,0.9996, ,0,Meter
31998,SIRGAS_UTM_Zone_23S,500000,10000000,-45,0.9996, ,0,Meter
31999,SIRGAS_UTM_Zone_24S,500000,10000000,-39,0.9996, ,0,Meter
32000,SIRGAS_UTM_Zone_25S,500000,10000000,-33,0.9996, ,0,Meter
32001,NAD_1927_StatePlane_Montana_North_FIPS_2501,2000000,0,-109.5,47.85,48.71666667,47,Foot_US
32002,NAD_1927_StatePlane_Montana_Central_FIPS_2502,2000000,0,-109.5,46.45,47.88333333,45.83333333,Foot_US
32003,NAD_1927_StatePlane_Montana_South_FIPS_2503,2000000,0,-109.5,44.86666667,46.4,44,Foot_US
32005,NAD_1927_StatePlane_Nebraska_North_FIPS_2601,2000000,0,-100,41.85,42.81666667,41.33333333,Foot_US
32006,NAD_1927_StatePlane_Nebraska_South_FIPS_2602,2000000,0,-99.5,40.28333333,41.71666667,39.66666667,Foot_US
32007,NAD_1927_StatePlane_Nevada_East_FIPS_2701,500000,0,-115.5833333,0.9999, ,34.75,Foot_US
32008,NAD_1927_StatePlane_Nevada_Central_FIPS_2702,500000,0,-116.6666667,0.9999, ,34.75,Foot_US
32009,NAD_1927_StatePlane_Nevada_West_FIPS_2703,500000,0,-118.5833333,0.9999, ,34.75,Foot_US
32010,NAD_1927_StatePlane_New_Hampshire_FIPS_2800,500000,0,-71.66666667,0.999966667, ,42.5,Foot_US
32011,NAD_1927_StatePlane_New_Jersey_FIPS_2900,2000000,0,-74.66666667,0.999975, ,38.83333333,Foot_US
32012,NAD_1927_StatePlane_New_Mexico_East_FIPS_3001,500000,0,-104.3333333,0.999909091, ,31,Foot_US
32013,NAD_1927_StatePlane_New_Mexico_Central_FIPS_3002,500000,0,-106.25,0.9999, ,31,Foot_US
32014,NAD_1927_StatePlane_New_Mexico_West_FIPS_3003,500000,0,-107.8333333,0.999916667, ,31,Foot_US
32015,NAD_1927_StatePlane_New_York_East_FIPS_3101,500000,0,-74.33333333,0.999966667, ,40,Foot_US
32016,NAD_1927_StatePlane_New_York_Central_FIPS_3102,500000,0,-76.58333333,0.9999375, ,40,Foot_US
32017,NAD_1927_StatePlane_New_York_West_FIPS_3103,500000,0,-78.58333333,0.9999375, ,40,Foot_US
32018,NAD_1927_StatePlane_New_York_Long_Island_FIPS_3104,2000000,100000,-74,40.66666667,41.03333333,40.5,Foot_US
32019,NAD_1927_StatePlane_North_Carolina_FIPS_3200,2000000,0,-79,34.33333333,36.16666667,33.75,Foot_US
32020,NAD_1927_StatePlane_North_Dakota_North_FIPS_3301,2000000,0,-100.5,47.43333333,48.73333333,47,Foot_US
32021,NAD_1927_StatePlane_North_Dakota_South_FIPS_3302,2000000,0,-100.5,46.18333333,47.48333333,45.66666667,Foot_US
32022,NAD_1927_StatePlane_Ohio_North_FIPS_3401,2000000,0,-82.5,40.43333333,41.7,39.66666667,Foot_US
32023,NAD_1927_StatePlane_Ohio_South_FIPS_3402,2000000,0,-82.5,38.73333333,40.03333333,38,Foot_US
32024,NAD_1927_StatePlane_Oklahoma_North_FIPS_3501,2000000,0,-98,35.56666667,36.76666667,35,Foot_US
32025,NAD_1927_StatePlane_Oklahoma_South_FIPS_3502,2000000,0,-98,33.93333333,35.23333333,33.33333333,Foot_US
32026,NAD_1927_StatePlane_Oregon_North_FIPS_3601,2000000,0,-120.5,44.33333333,46,43.66666667,Foot_US
32027,NAD_1927_StatePlane_Oregon_South_FIPS_3602,2000000,0,-120.5,42.33333333,44,41.66666667,Foot_US
32028,NAD_1927_StatePlane_Pennsylvania_North_FIPS_3701,2000000,0,-77.75,40.88333333,41.95,40.16666667,Foot_US
32029,NAD_1927_StatePlane_Pennsylvania_South_FIPS_3702,2000000,0,-77.75,39.93333333,40.96666667,39.33333333,Foot_US
32030,NAD_1927_StatePlane_Rhode_Island_FIPS_3800,500000,0,-71.5,0.99999375, ,41.08333333,Foot_US
32031,NAD_1927_StatePlane_South_Carolina_North_FIPS_3901,2000000,0,-81,33.76666667,34.96666667,33,Foot_US
32033,NAD_1927_StatePlane_South_Carolina_South_FIPS_3902,2000000,0,-81,32.33333333,33.66666667,31.83333333,Foot_US
32034,NAD_1927_StatePlane_South_Dakota_North_FIPS_4001,2000000,0,-100,44.41666667,45.68333333,43.83333333,Foot_US
32035,NAD_1927_StatePlane_South_Dakota_South_FIPS_4002,2000000,0,-100.3333333,42.83333333,44.4,42.33333333,Foot_US
32036,NAD_1927_StatePlane_Tennessee_FIPS_4100,2000000,100000,-86,35.25,36.41666667,34.66666667,Foot_US
32037,NAD_1927_StatePlane_Texas_North_FIPS_4201,2000000,0,-101.5,34.65,36.18333333,34,Foot_US
32038,NAD_1927_StatePlane_Texas_North_Central_FIPS_4202,2000000,0,-97.5,32.13333333,33.96666667,31.66666667,Foot_US
32039,NAD_1927_StatePlane_Texas_Central_FIPS_4203,2000000,0,-100.3333333,30.11666667,31.88333333,29.66666667,Foot_US
32040,NAD_1927_StatePlane_Texas_South_Central_FIPS_4204,2000000,0,-99,28.38333333,30.28333333,27.83333333,Foot_US
32041,NAD_1927_StatePlane_Texas_South_FIPS_4205,2000000,0,-98.5,26.16666667,27.83333333,25.66666667,Foot_US
32042,NAD_1927_StatePlane_Utah_North_FIPS_4301,2000000,0,-111.5,40.71666667,41.78333333,40.33333333,Foot_US
32043,NAD_1927_StatePlane_Utah_Central_FIPS_4302,2000000,0,-111.5,39.01666667,40.65,38.33333333,Foot_US
32044,NAD_1927_StatePlane_Utah_South_FIPS_4303,2000000,0,-111.5,37.21666667,38.35,36.66666667,Foot_US
32045,NAD_1927_StatePlane_Vermont_FIPS_3400,500000,0,-72.5,0.999964286, ,42.5,Foot_US
32046,NAD_1927_StatePlane_Virginia_North_FIPS_4501,2000000,0,-78.5,38.03333333,39.2,37.66666667,Foot_US
32047,NAD_1927_StatePlane_Virginia_South_FIPS_4502,2000000,0,-78.5,36.76666667,37.96666667,36.33333333,Foot_US
32048,NAD_1927_StatePlane_Washington_North_FIPS_4601,2000000,0,-120.8333333,47.5,48.73333333,47,Foot_US
32049,NAD_1927_StatePlane_Washington_South_FIPS_4602,2000000,0,-120.5,45.83333333,47.33333333,45.33333333,Foot_US
32050,NAD_1927_StatePlane_West_Virginia_North_FIPS_4701,2000000,0,-79.5,39,40.25,38.5,Foot_US
32051,NAD_1927_StatePlane_West_Virginia_South_FIPS_4702,2000000,0,-81,37.48333333,38.88333333,37,Foot_US
32052,NAD_1927_StatePlane_Wisconsin_North_FIPS_4801,2000000,0,-90,45.56666667,46.76666667,45.16666667,Foot_US
32053,NAD_1927_StatePlane_Wisconsin_Central_FIPS_4802,2000000,0,-90,44.25,45.5,43.83333333,Foot_US
32054,NAD_1927_StatePlane_Wisconsin_South_FIPS_4803,2000000,0,-90,42.73333333,44.06666667,42,Foot_US
32055,NAD_1927_StatePlane_Wyoming_East_FIPS_4901,500000,0,-105.1666667,0.999941176, ,40.66666667,Foot_US
32056,NAD_1927_StatePlane_Wyoming_East_Central_FIPS_4902,500000,0,-107.3333333,0.999941176, ,40.66666667,Foot_US
32057,NAD_1927_StatePlane_Wyoming_West_Central_FIPS_4903,500000,0,-108.75,0.999941176, ,40.66666667,Foot_US
32058,NAD_1927_StatePlane_Wyoming_West_FIPS_4904,500000,0,-110.0833333,0.999941176, ,40.66666667,Foot_US
